aX,aY,aZ,gX,gY,gZ
-0.093,0.913,0.278,1.587,-1.953,0.000

4.000,-0.719,4.000,-716.431,527.466,91.248
2.837,4.000,0.061,-395.935,248.779,242.126
-0.774,2.701,1.489,-275.391,-166.443,264.038
0.021,2.181,0.311,-125.610,-66.162,172.363
1.055,2.461,-1.626,159.241,54.810,1.953
0.676,2.358,-1.053,216.309,-23.132,-166.138
0.112,1.484,0.778,226.624,-103.394,-294.189
0.022,1.234,-0.066,220.032,-7.690,-345.886
0.266,-0.293,0.431,149.109,17.822,-324.219
-0.337,0.009,0.410,4.761,50.964,-87.219
-0.233,0.302,0.422,-54.810,69.458,148.193
-0.301,0.676,0.287,-25.818,47.241,249.329
-0.400,0.932,0.069,-10.010,23.376,228.333
-0.396,0.969,-0.025,-6.531,0.305,141.113
-0.328,0.795,0.057,-1.282,-10.681,57.983
-0.240,0.703,0.178,3.296,-13.062,6.409
-0.184,0.767,0.278,8.545,-14.709,-12.634
-0.132,0.884,0.373,15.625,-18.311,-18.616
-0.072,0.960,0.384,17.883,-19.775,-20.020
-0.052,0.965,0.357,18.982,-20.691,-14.404
-0.019,1.037,0.313,22.217,-19.958,-3.906
0.024,1.086,0.277,19.043,-14.771,-0.122
0.034,1.103,0.258,10.986,-6.775,-3.479
0.028,1.112,0.257,6.836,-0.854,-9.216
0.011,0.992,0.258,7.019,1.282,-12.817
-0.020,0.982,0.259,14.771,0.671,-7.080
-0.063,0.924,0.261,21.484,-1.038,-2.869
-0.087,0.866,0.268,25.085,-2.258,-1.282
-0.104,0.829,0.274,25.940,-2.319,-0.610
-0.112,0.797,0.283,24.292,-1.465,-0.488
-0.121,0.787,0.288,20.935,-0.244,0.122
-0.111,0.793,0.294,16.235,1.282,1.160
-0.092,0.823,0.299,11.169,3.418,1.282
-0.078,0.856,0.302,6.531,4.517,0.916
-0.059,0.897,0.298,3.723,4.761,0.183
-0.051,0.924,0.301,2.930,4.517,-0.488
-0.046,0.944,0.295,2.808,4.150,-0.549
-0.031,0.970,0.287,3.052,4.089,-0.244
-0.026,0.977,0.284,3.479,3.662,-0.244
-0.042,0.970,0.281,3.906,2.991,-0.305
-0.046,0.956,0.278,4.089,2.136,-0.488
-0.051,0.940,0.277,3.967,1.343,-1.038
-0.061,0.924,0.279,3.235,0.427,-1.709
-0.068,0.914,0.273,2.319,-0.244,-1.831
-0.080,0.888,0.275,1.648,-0.671,-1.282
-0.082,0.881,0.280,0.671,-0.549,-0.732
-0.077,0.882,0.293,0.183,-0.122,0.183
-0.073,0.890,0.297,0.183,0.610,0.610
-0.054,0.914,0.286,0.549,0.977,0.244
-0.055,0.917,0.283,1.526,0.427,-0.305
-0.058,0.923,0.287,2.319,0.183,-0.244
-0.058,0.920,0.299,2.563,0.183,0.122
-0.068,0.907,0.312,2.319,0.488,0.427
-0.076,0.893,0.318,1.953,0.793,0.977
-0.083,0.879,0.322,1.953,1.465,1.343
-0.079,0.892,0.310,1.892,2.075,1.282
-0.064,0.922,0.280,2.319,1.648,0.366
-0.064,0.930,0.269,3.723,0.305,-1.038
-0.067,0.931,0.282,4.395,-0.183,-1.465
-0.066,0.926,0.300,4.150,-0.244,-0.977
-0.070,0.909,0.307,3.845,0.061,-0.061
-0.067,0.896,0.314,2.930,0.732,0.549
-0.066,0.888,0.317,1.648,1.343,0.793
-0.062,0.880,0.313,0.610,1.404,0.610
-0.062,0.883,0.303,0.366,0.793,0.122
-0.071,0.892,0.282,0.122,0.244,-0.427
-0.063,0.916,0.260,0.366,-0.122,-1.160
-0.041,0.947,0.244,0.793,-0.610,-1.953
-0.036,0.960,0.257,0.916,-1.221,-2.747
-0.028,0.977,0.274,-0.061,-0.549,-2.686
-0.023,0.973,0.293,-0.793,-0.122,-2.380
-0.037,0.953,0.305,-0.305,-0.183,-1.770
-0.047,0.935,0.304,1.160,-0.305,-1.160
-0.048,0.922,0.297,2.991,-0.305,-1.038
-0.054,0.913,0.290,4.578,-0.061,-1.343
-0.063,0.901,0.288,5.127,0.122,-1.465
