aX,aY,aZ,gX,gY,gZ
-2.281,-0.143,0.311,-43.152,-34.058,-54.260
-2.254,-0.125,0.278,-56.152,-46.814,-74.768
-2.234,-0.100,0.197,-58.105,-61.340,-96.069
-2.194,-0.059,0.105,-55.786,-75.378,-115.967
-2.129,0.018,-0.007,-51.636,-87.646,-132.202
-2.080,0.108,-0.105,-44.067,-96.924,-144.348
-2.070,0.188,-0.153,-28.442,-99.304,-151.733
-1.950,0.247,-0.174,-9.705,-92.102,-154.785
-1.680,0.270,-0.155,6.897,-79.529,-153.076
-1.332,0.170,-0.155,23.132,-65.918,-150.146
-1.071,-0.090,-0.142,38.635,-51.086,-146.606
-0.708,-0.386,-0.012,36.255,-26.306,-133.911
-0.063,-0.607,0.199,0.244,4.578,-108.826
0.888,-0.642,0.430,-62.012,28.198,-75.623
2.015,-0.191,0.506,-124.390,38.635,-38.940
3.168,0.669,0.557,-130.920,33.447,-9.644
3.997,2.000,0.571,-38.879,19.348,7.019
4.000,3.174,0.510,115.356,10.498,-11.353
3.748,3.486,0.033,271.973,-4.578,-75.317
2.689,3.140,-0.359,414.368,-17.090,-142.883
1.969,2.154,-0.475,445.679,-21.729,-188.782
1.387,1.314,-0.715,305.420,-43.152,-196.106
0.980,0.972,-0.853,48.584,-77.454,-144.592
0.278,1.529,-0.743,-199.646,-106.689,-54.565
0.421,1.925,-0.647,-361.816,-78.247,16.968
0.398,2.052,-0.555,-382.324,-31.921,54.810
0.406,1.925,-0.546,-285.278,0.854,58.105
0.335,1.566,-0.399,-139.954,13.367,40.771
0.326,1.155,-0.242,-10.925,14.221,23.865
0.326,0.909,-0.099,66.101,8.728,11.780
0.270,0.703,0.030,101.563,6.714,3.418
0.263,0.648,0.143,110.596,13.611,-5.127
0.272,0.682,0.244,109.070,26.001,-15.442
0.296,0.770,0.294,103.760,38.025,-25.635
0.268,0.820,0.304,98.328,46.326,-33.264
0.244,0.758,0.338,101.807,52.551,-29.968
0.277,0.730,0.355,98.145,54.626,-15.747
0.240,0.722,0.339,74.768,49.927,1.465
0.189,0.796,0.378,30.945,45.898,16.907
0.174,0.963,0.319,-22.034,42.786,24.841
0.125,1.057,0.281,-60.608,36.255,25.330
0.124,1.161,0.248,-85.693,27.527,20.935
0.131,1.229,0.171,-93.567,17.456,15.381
0.074,1.244,0.100,-81.177,7.141,12.634
0.007,1.225,0.064,-55.176,0.000,14.404
-0.075,1.167,0.038,-28.259,-4.395,20.203
-0.152,1.113,-0.009,-2.197,-5.920,33.447
-0.211,1.064,-0.036,19.104,-5.615,52.063
-0.258,1.030,-0.035,29.114,-3.662,68.420
-0.320,0.970,-0.021,33.691,-1.221,80.383
-0.331,0.913,-0.016,35.156,0.366,86.243
-0.422,0.828,0.003,30.701,-0.916,81.360
-0.463,0.794,0.005,24.963,-2.869,74.158
-0.522,0.752,0.004,20.508,-5.188,67.810
-0.612,0.710,0.008,16.907,-5.981,64.087
-0.667,0.687,0.012,11.780,-4.578,64.941
-0.655,0.701,0.008,6.409,-0.916,70.557
-0.605,0.710,0.006,1.648,3.296,76.538
-0.605,0.687,-0.009,-3.723,6.348,80.017
-0.646,0.688,-0.014,-12.024,8.484,80.444
-0.681,0.692,-0.028,-22.949,11.230,79.956
-0.716,0.684,-0.038,-34.790,15.320,78.918
-0.713,0.708,-0.031,-46.631,19.531,77.209
-0.701,0.750,-0.044,-54.260,20.874,72.693
-0.661,0.778,-0.046,-53.833,19.409,64.880
-0.617,0.825,-0.047,-47.119,15.137,55.237
-0.607,0.817,-0.035,-34.607,8.545,47.119
-0.588,0.829,-0.046,-20.935,2.991,42.603
-0.595,0.797,-0.066,-7.935,-0.610,41.931
-0.641,0.741,-0.082,0.732,-2.136,43.945
-0.690,0.730,-0.108,3.357,-2.197,48.828
-0.737,0.710,-0.137,1.526,-1.953,54.138
-0.780,0.665,-0.162,-3.845,-2.319,59.265
-0.837,0.638,-0.172,-13.550,-2.563,65.063
-0.854,0.648,-0.173,-25.940,-2.258,70.862
-0.809,0.692,-0.178,-35.645,-1.587,75.012
-0.773,0.722,-0.164,-38.513,-0.427,75.134
-0.750,0.758,-0.144,-33.630,1.343,70.984
-0.708,0.783,-0.123,-22.034,3.296,63.171
-0.700,0.772,-0.091,-7.568,5.859,52.246
-0.723,0.728,-0.065,5.920,7.751,41.443
-0.726,0.710,-0.049,17.273,8.789,33.630
-0.777,0.659,-0.033,26.001,8.972,28.809
-0.812,0.614,-0.020,30.273,9.460,27.771
-0.801,0.605,-0.017,28.992,9.888,29.175
-0.800,0.602,-0.021,24.841,9.460,30.029
-0.806,0.597,-0.030,19.226,8.789,28.625
-0.800,0.606,-0.033,12.634,8.240,26.306
-0.770,0.634,-0.035,5.920,8.301,23.499
-0.764,0.648,-0.038,0.549,7.996,19.897
-0.754,0.666,-0.044,-2.625,8.057,16.663
-0.727,0.695,-0.045,-3.723,9.094,14.526
-0.716,0.715,-0.035,-2.075,10.925,12.756
-0.728,0.712,-0.026,1.587,13.062,11.108
-0.730,0.698,-0.008,6.104,16.113,10.559
-0.723,0.674,0.008,8.606,18.433,11.108
-0.720,0.664,0.023,7.629,18.982,12.329
-0.715,0.664,0.032,4.639,18.250,13.367
-0.719,0.652,0.037,2.014,16.357,14.099
-0.721,0.638,0.035,0.793,13.977,14.709
-0.715,0.632,0.028,-0.549,11.414,15.137
-0.722,0.634,0.020,-2.258,8.911,14.832
-0.726,0.640,0.013,-4.211,6.592,13.550
-0.738,0.641,0.002,-5.798,4.822,12.085
-0.747,0.646,-0.003,-7.019,4.028,11.292
-0.741,0.664,-0.015,-8.423,4.639,10.498
-0.731,0.663,-0.023,-9.827,6.470,9.399
-0.731,0.671,-0.024,-10.864,7.690,7.996
-0.727,0.673,-0.022,-11.658,8.484,7.629
-0.710,0.684,-0.018,-12.451,8.972,8.057
-0.711,0.693,-0.015,-13.062,8.728,8.667
-0.709,0.696,-0.011,-13.123,8.362,8.667
-0.716,0.701,-0.010,-12.573,7.751,8.606
-0.718,0.699,-0.005,-11.719,7.507,8.423
-0.729,0.680,-0.003,-10.376,6.775,7.996
-0.729,0.673,0.003,-8.972,5.737,7.629
-0.736,0.666,0.007,-7.690,4.150,7.263
-0.745,0.664,0.013,-5.615,2.686,6.592

-2.465,-0.218,-0.020,-52.307,-51.880,-147.583
-2.390,-0.293,0.005,-54.626,-59.570,-156.250
-2.223,-0.313,0.034,-63.599,-64.392,-165.405
-1.972,-0.362,0.054,-67.810,-68.848,-176.514
-1.639,-0.394,0.125,-64.758,-70.435,-185.974
-1.199,-0.405,0.175,-59.387,-66.589,-193.420
-0.702,-0.488,0.224,-52.429,-56.946,-195.374
-0.099,-0.569,0.318,-49.500,-40.527,-187.073
0.604,-0.579,0.410,-52.490,-20.386,-170.227
1.672,-0.408,0.477,-56.763,-4.333,-145.874
3.383,0.460,0.359,-47.058,-5.371,-116.577
4.000,2.155,0.091,36.499,-34.485,-84.656
4.000,3.290,-0.002,220.154,-68.787,-78.308
3.619,3.284,-0.269,383.362,-86.121,-107.849
2.604,2.821,-0.505,467.896,-75.623,-136.169
2.024,2.185,-0.604,455.566,-49.988,-122.437
1.161,1.568,-0.584,322.876,-32.349,-62.073
0.523,1.180,-0.692,97.778,-9.277,10.376
0.483,1.256,-0.595,-123.291,11.841,73.547
0.305,1.536,-0.448,-271.667,31.738,101.990
0.314,1.469,-0.372,-297.607,51.270,98.206
-0.078,1.195,0.060,-219.971,42.053,81.177
-0.163,0.872,0.080,-97.351,36.865,64.087
-0.233,0.585,0.231,16.296,32.532,49.133
-0.229,0.331,0.306,94.788,26.489,30.884
-0.217,0.259,0.395,128.967,18.494,9.094
-0.219,0.281,0.447,133.545,14.038,-12.329
-0.118,0.339,0.477,115.356,14.526,-34.302
-0.033,0.461,0.450,81.421,14.038,-51.575
0.005,0.636,0.410,45.349,9.705,-59.082
0.057,0.768,0.342,17.578,3.357,-60.242
0.053,0.864,0.256,1.953,-4.395,-54.199
0.047,0.905,0.148,-7.202,-13.794,-43.396
0.007,0.926,0.042,-15.076,-24.475,-31.067
-0.044,1.000,-0.035,-22.461,-33.447,-20.752
-0.083,1.088,-0.095,-27.771,-36.316,-14.832
-0.102,1.158,-0.144,-29.297,-32.166,-11.719
-0.106,1.193,-0.187,-28.381,-23.804,-9.460
-0.097,1.221,-0.202,-26.123,-14.771,-7.080
-0.108,1.242,-0.191,-21.240,-6.958,-4.028
-0.082,1.250,-0.176,-12.939,-0.488,-1.343
-0.091,1.237,-0.176,-5.554,4.028,1.892
-0.114,1.227,-0.159,-0.183,6.348,6.470
-0.129,1.211,-0.140,2.869,6.836,10.803
-0.158,1.171,-0.116,3.113,5.859,14.465
-0.179,1.128,-0.089,0.427,4.639,18.127
-0.196,1.103,-0.079,-5.737,3.784,22.217
-0.176,1.079,-0.084,-12.939,2.991,25.085
-0.228,1.044,-0.073,-19.531,0.427,26.001
-0.255,1.047,-0.076,-27.161,-0.183,24.658
-0.240,1.031,-0.093,-31.006,1.160,21.484
-0.248,1.007,-0.103,-30.518,1.404,17.639
-0.260,0.989,-0.117,-28.259,0.854,13.855
-0.266,0.978,-0.129,-25.330,1.160,10.559
-0.268,0.969,-0.137,-22.217,1.587,7.568
-0.264,0.959,-0.159,-20.813,1.709,5.066
-0.265,0.970,-0.180,-21.606,1.404,3.418
-0.291,1.037,-0.146,-19.287,0.732,1.709
-0.252,1.044,-0.151,-14.832,0.916,-1.648
-0.257,1.022,-0.149,-8.850,0.305,-4.883
-0.268,1.020,-0.146,-4.578,0.000,-5.737
-0.248,0.998,-0.151,-3.540,0.000,-4.700
-0.236,1.002,-0.149,-3.113,-0.305,-3.967
-0.215,0.985,-0.149,-1.770,-0.793,-4.089
-0.205,0.972,-0.145,-0.427,-1.221,-4.211
-0.204,0.953,-0.139,0.427,-1.587,-3.784
-0.202,0.949,-0.148,0.183,-0.732,-2.502
-0.207,0.945,-0.152,-0.183,0.000,0.000
-0.206,0.951,-0.139,-0.305,1.099,2.441
-0.199,0.950,-0.126,-0.610,2.563,3.723
-0.196,0.951,-0.107,-1.038,3.296,3.784
-0.196,0.956,-0.098,-0.549,3.906,2.136
-0.196,0.959,-0.074,1.953,4.456,-0.244
-0.203,0.967,-0.044,4.944,4.883,-2.258
-0.190,0.965,-0.040,7.996,4.883,-4.089
-0.182,0.942,-0.034,11.414,3.540,-5.859
-0.184,0.939,-0.026,13.062,2.136,-7.141
-0.183,0.940,-0.021,12.207,1.526,-7.141
-0.188,0.942,-0.017,10.254,1.465,-6.165
-0.190,0.942,-0.008,8.301,1.526,-4.822
-0.182,0.948,-0.007,7.141,1.526,-3.723
-0.171,0.944,-0.019,6.958,0.916,-2.869
-0.170,0.938,-0.020,6.836,-0.549,-2.502
-0.165,0.946,-0.024,5.981,-1.831,-2.258
-0.170,0.952,-0.035,4.272,-2.197,-2.075
-0.179,0.956,-0.042,2.563,-1.770,-1.221
-0.183,0.976,-0.046,1.343,-1.160,-0.366
-0.179,0.986,-0.051,1.831,-0.488,0.305
-0.176,0.982,-0.056,3.479,0.610,1.038
-0.177,0.968,-0.056,4.944,1.404,1.953
-0.180,0.948,-0.055,5.066,2.441,3.113
