aX,aY,aZ,gX,gY,gZ
0.055,0.981,-0.082,9.888,10.010,2.930

1.787,0.351,-0.618,-177.917,-360.657,-21.240
1.885,0.370,-0.741,-158.997,-374.878,-9.644
1.963,0.429,-0.861,-139.648,-385.315,-1.099
1.970,0.497,-0.990,-123.596,-390.869,3.113
1.823,0.522,-1.136,-108.887,-389.465,4.700
1.587,0.567,-1.341,-100.342,-380.920,7.507
1.313,0.585,-1.659,-102.905,-368.835,14.465
1.097,0.872,-2.211,-115.173,-357.971,27.710
0.939,1.219,-2.399,-124.268,-354.675,41.992
0.358,1.373,-2.242,-147.644,-315.552,52.185
-0.218,1.400,-1.915,-202.698,-208.740,75.073
-0.219,1.544,-1.515,-272.522,-81.665,103.760
-0.056,1.641,-1.121,-287.964,16.541,115.479
-0.092,1.698,-0.842,-211.670,81.604,87.952
-0.038,1.732,-0.579,-93.079,135.254,22.888
0.141,1.385,-0.724,1.404,162.231,-32.043
0.213,1.141,-0.946,103.638,136.963,-63.354
0.245,0.743,-0.863,161.743,52.246,-67.383
0.134,0.630,-0.722,193.604,-19.043,-46.570
0.088,0.653,-0.608,203.064,-53.650,-33.691
0.140,0.823,-0.247,191.589,-53.955,-36.438
0.170,0.853,-0.475,186.584,-16.235,-54.199
0.241,0.888,-0.366,150.513,3.967,-60.974
0.284,0.947,-0.394,102.295,14.954,-51.697
0.296,0.996,-0.370,57.800,20.142,-30.701
0.285,1.047,-0.374,25.696,19.897,-5.920
0.267,1.071,-0.387,8.179,13.550,16.296
0.229,1.053,-0.387,0.366,2.563,32.715
0.187,1.034,-0.378,-0.183,-7.263,42.297
0.145,1.011,-0.391,5.127,-13.123,45.837
0.112,0.988,-0.382,11.536,-15.015,44.250
0.093,0.985,-0.364,17.151,-12.451,38.940
0.082,0.985,-0.341,22.644,-6.104,31.250
0.078,0.961,-0.328,28.992,1.465,22.766
0.081,0.916,-0.316,34.485,8.057,16.113
0.083,0.892,-0.289,35.217,13.489,11.780
0.100,0.893,-0.255,32.776,19.043,9.277
0.124,0.895,-0.231,29.968,23.682,8.179
0.138,0.909,-0.203,26.367,26.611,9.094
0.152,0.931,-0.190,22.705,27.527,10.132
0.154,0.931,-0.177,20.142,26.001,11.169
0.140,0.914,-0.155,18.494,22.888,12.451
0.118,0.892,-0.140,17.151,19.775,13.977
0.109,0.870,-0.131,15.137,18.616,16.235
0.096,0.863,-0.113,10.254,19.653,18.372
0.096,0.882,-0.094,4.272,22.766,19.836
0.094,0.885,-0.091,-0.183,26.123,19.531
0.107,0.889,-0.081,-1.953,27.771,18.066
0.122,0.914,-0.079,-0.732,27.344,15.869
0.128,0.914,-0.085,2.197,24.719,12.939
0.125,0.897,-0.091,6.531,19.653,10.437
0.117,0.885,-0.088,10.132,14.099,8.911
0.112,0.885,-0.088,11.902,10.742,7.812
0.109,0.861,-0.089,11.108,9.766,6.897
0.106,0.866,-0.083,8.606,9.644,7.263
0.106,0.873,-0.081,5.920,10.193,8.057
0.103,0.886,-0.075,4.089,10.681,8.789
0.098,0.891,-0.073,3.723,11.780,8.667
0.095,0.895,-0.066,5.371,12.634,7.568
0.091,0.892,-0.054,7.324,14.282,6.104
0.100,0.888,-0.056,8.545,16.296,4.395
0.102,0.895,-0.047,8.789,18.127,2.808
0.116,0.901,-0.043,8.728,19.409,1.282
0.119,0.896,-0.038,8.789,19.775,-0.244
0.121,0.899,-0.031,8.606,19.409,-1.099
0.125,0.901,-0.031,8.301,18.982,-1.831
0.133,0.904,-0.024,8.667,18.005,-2.502
0.136,0.932,-0.004,10.376,17.090,-2.869
0.135,0.936,0.002,12.390,17.273,-3.296
0.129,0.919,-0.002,13.123,17.700,-3.662
0.127,0.905,-0.004,11.719,18.494,-3.479
0.134,0.904,-0.020,7.446,19.470,-3.479
0.131,0.903,0.014,-2.686,20.874,-5.737
0.133,0.920,0.005,-5.798,22.339,-7.812
0.128,0.919,0.012,-11.047,22.949,-11.108
0.128,0.900,0.011,-14.526,24.231,-14.709
0.131,0.928,0.017,-18.250,26.733,-15.686
0.142,0.945,0.018,-23.071,28.625,-18.127
0.134,0.930,0.013,-24.841,28.076,-19.836
0.129,0.898,0.009,-21.240,25.574,-19.531
0.137,0.913,0.018,-15.564,21.790,-16.357
0.136,0.925,0.015,-14.832,19.714,-13.245
0.138,0.946,0.007,-9.766,16.357,-10.254
0.143,0.954,-0.003,-5.676,12.573,-8.850
0.134,0.956,-0.007,-1.221,8.667,-7.874
0.135,0.959,-0.019,2.991,4.578,-7.446
0.115,0.969,-0.024,5.798,1.404,-6.897
0.158,0.968,-0.022,7.751,-0.488,-7.690
0.135,0.967,-0.035,5.493,-0.793,-7.324
0.142,0.984,-0.047,3.235,-1.038,-5.249
0.138,0.993,-0.051,2.014,-1.099,-4.456
0.140,0.993,-0.059,1.587,-1.038,-4.028
0.139,0.993,-0.067,2.075,-1.160,-3.296
0.133,0.991,-0.079,2.869,-0.916,-2.014
0.126,0.987,-0.090,3.723,-0.610,-1.343
0.124,0.983,-0.096,4.333,-0.854,-1.404
0.125,0.982,-0.100,5.432,-0.854,-2.136
0.124,0.981,-0.100,6.836,-0.488,-3.357
0.129,0.983,-0.102,8.850,-0.305,-4.333
0.135,0.990,-0.110,11.353,-0.305,-5.676
0.134,0.982,-0.115,14.343,-0.549,-7.935
0.133,0.973,-0.115,17.029,-1.221,-10.559
0.131,0.974,-0.116,18.616,-1.282,-12.451
0.131,0.958,-0.111,18.738,-0.427,-14.526
0.135,0.963,-0.113,18.250,0.916,-15.625
0.134,0.951,-0.106,15.808,2.380,-17.029
0.146,0.948,-0.106,13.489,3.784,-17.456
0.144,0.946,-0.104,12.573,4.456,-15.564
0.148,0.941,-0.099,12.390,4.578,-12.939
0.152,0.940,-0.103,13.489,4.822,-8.545
0.151,0.946,-0.107,14.038,4.272,-4.272
0.148,0.957,-0.103,13.611,3.296,-2.136
0.148,0.968,-0.095,14.404,2.991,-1.099
0.147,0.972,-0.088,15.808,4.272,-0.732
0.150,0.970,-0.087,16.418,6.226,-0.671
0.153,0.972,-0.087,16.541,8.179,-0.305
0.150,0.963,-0.088,16.052,9.644,-0.122
0.152,0.959,-0.083,15.442,10.620,0.061
0.161,0.976,-0.071,14.160,11.658,0.183

2.195,0.127,-0.534,-176.208,-349.731,38.635
2.241,0.182,-0.714,-149.231,-356.140,40.466
2.161,0.239,-0.943,-122.070,-368.347,40.039
1.963,0.345,-1.110,-100.220,-386.963,36.743
1.697,0.500,-1.160,-80.078,-400.513,31.982
1.433,0.554,-1.695,-50.293,-392.639,26.062
1.466,0.577,-2.258,-39.917,-391.052,22.522
1.375,0.962,-2.100,-37.231,-391.785,17.700
0.435,1.301,-1.988,-44.006,-315.979,10.193
-0.391,1.543,-1.625,-91.919,-157.532,18.982
-0.200,1.661,-1.314,-158.508,7.446,34.485
0.201,1.582,-1.140,-190.796,125.122,41.077
0.395,1.458,-1.031,-175.049,199.097,35.889
0.573,1.502,-0.946,-134.949,230.896,22.156
0.655,1.261,-0.767,-51.880,217.163,-4.944
0.569,1.082,-0.846,72.327,174.316,-25.757
0.525,0.792,-0.892,154.114,98.450,-13.367
0.401,0.579,-0.607,188.843,3.052,18.616
0.278,0.607,-0.123,199.768,-46.814,43.457
0.237,0.696,-0.300,220.520,-35.583,47.974
0.242,0.663,-0.185,199.707,-27.344,39.429
0.260,0.652,-0.189,162.659,-18.250,33.569
0.261,0.661,-0.203,117.249,-8.423,30.945
0.245,0.691,-0.239,65.674,2.808,27.649
0.251,0.741,-0.265,16.235,14.282,22.278
0.253,0.814,-0.281,-20.325,21.362,16.602
0.255,0.895,-0.292,-40.039,21.729,13.733
0.245,0.943,-0.294,-43.640,18.127,14.709
0.238,0.990,-0.297,-37.231,13.855,18.494
0.224,1.005,-0.312,-25.024,10.498,22.095
0.219,0.982,-0.312,-10.803,6.958,23.987
0.201,0.947,-0.329,5.310,4.089,25.085
0.182,0.908,-0.319,16.113,3.479,25.513
0.173,0.885,-0.315,22.705,5.371,25.940
0.172,0.875,-0.302,27.283,7.874,26.489
0.160,0.860,-0.288,28.748,10.803,25.818
0.136,0.867,-0.251,27.466,14.343,23.621
0.130,0.881,-0.218,25.635,19.287,19.653
0.143,0.875,-0.218,24.109,24.292,14.465
0.144,0.880,-0.191,21.606,26.672,10.071
0.152,0.906,-0.165,19.958,27.222,7.385
0.157,0.922,-0.147,19.653,26.428,6.042
0.154,0.921,-0.133,20.386,24.048,6.165
0.157,0.918,-0.124,21.301,20.874,8.240
0.157,0.911,-0.112,22.095,16.663,11.292
0.144,0.900,-0.098,22.644,12.817,14.282
0.127,0.883,-0.090,22.339,10.620,16.541
0.129,0.874,-0.090,21.179,10.376,17.761
0.135,0.888,-0.084,19.165,11.108,17.517
0.137,0.884,-0.084,17.090,12.268,15.686
0.120,0.846,-0.086,14.038,12.878,12.085
0.117,0.826,-0.095,9.155,14.771,8.728
0.113,0.829,-0.102,2.808,17.151,6.042
0.109,0.854,-0.097,-2.136,18.616,4.028
0.122,0.892,-0.099,-3.601,18.677,2.380
0.131,0.916,-0.100,-1.770,17.395,0.732
0.131,0.918,-0.105,2.502,14.709,-0.671
